subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,theta_frontal,dataset
sub-010077,6.170399030054475,10.30698541281409,7.9345703125,10.1318359375,1.036639809920421,0.2417452235901034,5.360968733931721,LEMON
sub-010078,6.157305634207327,9.8547226426353,7.6904296875,9.765625,1.4468323704931405,0.2704590793304023,5.663349117156056,LEMON
sub-010079,5.946676297733083,10.349036140127165,5.615234375,10.6201171875,0.48135218116564754,0.2271508999264772,5.571854226269991,LEMON
sub-010080,6.251718119594676,9.04535171397645,7.9345703125,8.9111328125,0.8790276587286073,0.3579567492355053,6.299757379907946,LEMON
sub-010081,6.040140442042704,10.358333154267385,7.9345703125,10.498046875,0.670857349770786,0.23157836313535254,5.585591123581083,LEMON
sub-010083,5.89648662581899,10.238766524208645,5.0048828125,10.009765625,0.5097486190859609,0.23029376811265725,5.52287681538084,LEMON
sub-010084,6.5082368372516,9.920760508782218,7.9345703125,10.7421875,1.0892348607045206,0.2930382603181974,6.225294253315442,LEMON
sub-010085,6.263275718640182,10.076258161857584,7.9345703125,9.033203125,1.5032455680391457,0.26226189469579564,5.724989199443086,LEMON
sub-010086,5.636552920583346,9.490370235671575,4.0283203125,9.27734375,0.921273631477058,0.25948297966404926,5.2144191544069525,LEMON
sub-010087,6.006683808731359,10.363637356442169,7.9345703125,10.498046875,0.5917412629025494,0.2295181688419448,5.508365303079922,LEMON
sub-010088,5.84830304165498,10.291200136416716,4.5166015625,10.3759765625,0.34234203360983406,0.22507836185965682,5.447841890299709,LEMON
sub-010089,6.122409474592087,10.129010011280029,7.8125,10.1318359375,1.1839294225497985,0.24958814607124535,5.49439819321561,LEMON
sub-010090,6.101916620970975,10.122755548254672,7.9345703125,9.3994140625,1.141023482547269,0.2487043172046577,5.642861903437919,LEMON
sub-010091,6.408342312067607,9.528154136442248,7.9345703125,9.8876953125,0.9753579870023732,0.32053215267252455,5.593946410638831,LEMON
sub-010092,5.81303716909177,9.595359560292229,4.0283203125,9.521484375,1.2202271705084022,0.2643878275227124,5.361533327459361,LEMON
sub-010093,5.973657599721676,9.864810421348537,6.2255859375,9.27734375,1.2131772703981833,0.2569932474617915,5.550346990503648,LEMON
sub-010094,5.645539912338511,10.991434457847976,5.2490234375,10.8642578125,-1.0302617213317276,0.18705943252097945,5.21961437562855,LEMON
sub-010100,6.621916050691977,9.68669534687469,7.9345703125,8.7890625,0.9149583333450126,0.32628776931687525,6.047111323126646,LEMON
sub-010104,6.097201402601164,10.101156581662863,7.9345703125,10.1318359375,1.1622981148417633,0.2497530454959647,5.712918590727224,LEMON
sub-010134,5.546906931931537,10.521008862789818,4.8828125,10.25390625,-0.6222314450250696,0.20104131638240272,5.307865740892897,LEMON
sub-010136,5.810309451518432,9.844330775004552,6.2255859375,10.3759765625,0.8337269434986135,0.24789159992238713,5.661747521034699,LEMON
sub-010137,6.61004990263583,9.42503311518057,7.9345703125,9.6435546875,0.8360963164824533,0.3552419053668181,5.629073859027522,LEMON
sub-010138,5.9928300738095945,10.164434573907034,7.9345703125,9.8876953125,0.8190191498528375,0.23971591745493664,5.415902579566854,LEMON
sub-010141,6.000618778862018,10.694899655853137,6.9580078125,11.23046875,0.1841550588929205,0.21302517386666633,5.458150072600618,LEMON
sub-010142,5.756760226294589,11.074865507715748,4.638671875,12.5732421875,-0.8341713256228556,0.18803689417234887,5.330649265450858,LEMON
sub-010146,6.242230925236608,9.958356871471777,7.9345703125,10.1318359375,1.4140691399059067,0.2690974456915559,5.510376791418414,LEMON
sub-010148,6.320091517997539,9.490509144968092,7.9345703125,8.1787109375,1.0170949883522526,0.31541585925244037,5.560000363428606,LEMON
sub-010150,5.780250971667009,10.64101428600894,4.2724609375,10.986328125,-0.22020414964774745,0.20572900495884028,5.454905486466234,LEMON
sub-010152,6.620063317273651,9.37283605214003,7.9345703125,9.27734375,0.8170906898292101,0.3632700903107936,5.729269485277721,LEMON
sub-010155,6.211472502703197,9.83643589835802,7.9345703125,9.8876953125,1.3457622651427479,0.2758648545799611,5.45244875432822,LEMON
sub-010157,6.068340057504264,10.082274986418753,7.9345703125,10.009765625,1.1176764577507758,0.24913209050711632,5.539044520403131,LEMON
sub-010162,6.383977263266536,9.219052020283762,7.9345703125,8.9111328125,0.8731046382743356,0.3527243849654594,5.500180034334795,LEMON
sub-010163,5.706734085305844,10.45936359954771,4.0283203125,10.498046875,-0.163906473568991,0.21040983670268662,5.470084305970456,LEMON
sub-010164,5.657938780310701,10.846492443368325,5.126953125,11.1083984375,-0.7797053596191346,0.19273193744144457,5.486506200880897,LEMON
sub-010165,6.42901840828969,9.668187673774655,7.9345703125,8.7890625,1.0236142068897047,0.3087211312652045,5.978865760419864,LEMON
sub-010166,5.792763846656001,10.599877507848843,4.2724609375,10.986328125,-0.14342229368216086,0.20802503757563723,5.420524427964855,LEMON
sub-010168,5.9821876311313416,9.943326092528482,5.0048828125,10.25390625,1.1112071007647686,0.2524526748421938,5.435460482239301,LEMON
sub-010170,6.390871365083399,9.846861491785864,7.9345703125,8.4228515625,1.1489198579133684,0.28935267849105534,6.217598785358788,LEMON
sub-010176,6.029795499931851,10.099198928058325,7.9345703125,9.8876953125,0.9970852782695458,0.24573626519511566,5.645195524961346,LEMON
sub-010183,5.999284490010102,10.395268078457825,6.2255859375,10.009765625,0.5367168984540653,0.22748037609328578,5.466928727976562,LEMON
sub-010191,6.190222936971631,9.477026474057244,7.9345703125,8.9111328125,1.1124712599076167,0.3042469647841178,5.439541922718169,LEMON
sub-010192,5.90783947561061,10.574810365959609,4.0283203125,10.6201171875,0.1311549717683137,0.21427174574153374,5.568938488658819,LEMON
